Symbol,Company Name,Current Price,PE,Market Capital,FFMC,Outstanding Shares,Basic Industry,Industry,Macro,Sectoral Index,Sectoral PE,Status
RELIANCE,Reliance Industries Limited,2409.7,38.91,163027973.76,83109311.1505824,6765488391,Refineries & Marketing,Refineries & Marketing,Energy,NIFTY 500                                         ,21.73,Active
TCS,Tata Consultancy Services Limited,3377.95,31.28,123600925.85,34545762.6417401,3659051373,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
HDFCBANK,HDFC Bank Limited,1628.35,21.4,90844863.69,71692927.0416953,5578951926,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
INFY,Infosys Limited,1506.6,27.62,62488562.62,55188201.760989,4147654495,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
ICICIBANK,ICICI Bank Limited,868.6,20.84,60637878.55,60537840.8414325,6981105060,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
HINDUNILVR,Hindustan Unilever Limited,2486,59.63,58410838.77,22185851.0200467,2349591262,Diversified FMCG,Diversified FMCG,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
SBIN,State Bank of India,561.8,11.13,50138469.85,21555703.9672475,8924611934,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
HDFC,Housing Development Finance Corporation Limited,2671.15,31.91,48831971.84,48234433.9535487,1828125408,Housing Finance Company,Housing Finance Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
BHARTIARTL,Bharti Airtel Limited,768.05,0,42808141.88,19195581.6299799,5573613942,Telecom - Cellular & Fixed line services,Telecom - Cellular & Fixed line services,Telecommunication,NIFTY 500                                         ,21.73,Active
ADANIENT,Adani Enterprises Limited,1982,152.12,22594822.22,5425219.7347941995,1140001121,Trading - Minerals,Trading - Minerals,Commodities,NIFTY 500                                         ,21.73,Active
LICI,Life Insurance Corporation Of India,611,NA,38645735.95,1547473.9375267,6324997701,Life Insurance,Life Insurance,Financial Services,NA,NA,Active
ITC,ITC Limited,388.5,26.76,48248118.78,34206647.9477967,12419078192,Diversified FMCG,Diversified FMCG,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
ATGL,Adani Total Gas Limited,820.35,NA,9022292.02,2255573.0039726,1099810083,LPG/CNG/PNG/LNG Supplier,LPG/CNG/PNG/LNG Supplier,Energy,NA,NA,Active
BAJFINANCE,Bajaj Finance Limited,6137.5,37.99,37158219.18,16342557.1323082,605429233,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
KOTAKBANK,Kotak Mahindra Bank Limited,1750.55,34.05,34773663.25,25383242.554609,1986442161,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
ADANIGREEN,Adani Green Energy Limited,589.8,0,9342623.56,2055377.1821537,1584032478,Power Generation,Power Generation,Utilities,NIFTY 500                                         ,21.73,Active
ASIANPAINT,Asian Paints Limited,2861.6,71.99,27448403.96,12914049.137919199,959197790,Paints,Paints,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
LT,Larsen & Toubro Limited,2140,39.04,30076340.54,25878220.444523998,1405436474,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
ADANITRANS,Adani Transmission Limited,781.35,605.73,8715902.08,2178975.5196551,1115492683,Power - Transmission,Power - Transmission,Utilities,NIFTY 500                                         ,21.73,Active
AXISBANK,Axis Bank Limited,859.95,17.49,26452895.62,23256646.7120064,3076096938,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
HCLTECH,HCL Technologies Limited,1128,26.14,30610142.28,11924197.2082865,2713665096,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
DMART,Avenue Supermarts Limited,3451,89.11,22354704.59,4898297.3141754,647774691,Diversified Retail,Diversified Retail,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
